experiment,file,file_path,network,model_type,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80
exp_100_500_rcp,gat_1020_0930.json,reports/exp_100_500_rcp/gat_1020_0930.json,dorothea_100_500,gat,0.012,46.752,0.093,0.092,0.083,0.128,0.054,0.215,0.434,0.835
exp_100_500_rcp,gat_1021_0216.json,reports/exp_100_500_rcp/gat_1021_0216.json,dorothea_100_500,gat,0.012,46.726,0.094,0.093,0.085,0.135,0.054,0.216,0.437,0.834
exp_100_500_rcp_fr,gat_1020_0930.json,reports/exp_100_500_rcp_fr/gat_1020_0930.json,dorothea_100_500,gat,0.011,47.217,0.093,0.093,0.063,0.121,0.057,0.217,0.431,0.833
exp_100_500_rcp_fr,gat_1021_0218.json,reports/exp_100_500_rcp_fr/gat_1021_0218.json,dorothea_100_500,gat,0.011,46.994,0.093,0.092,0.064,0.12,0.056,0.218,0.433,0.832
exp_100_500_rcp_fr_rd,gat_1021_0221.json,reports/exp_100_500_rcp_fr_rd/gat_1021_0221.json,dorothea_100_500,gat,0.011,48.124,0.092,0.092,0.074,0.118,0.053,0.21,0.411,0.831
exp_100_500_rcp_fr_rd,gat_1025_2058.json,reports/exp_100_500_rcp_fr_rd/gat_1025_2058.json,dorothea_100_500,gat,0.011,48.158,0.092,0.092,0.075,0.116,0.051,0.21,0.413,0.831
exp_100_500_rcp_fr_rd,gat_1026_1613.json,reports/exp_100_500_rcp_fr_rd/gat_1026_1613.json,dorothea_100_500,gat,0.012,48.073,0.092,0.092,0.075,0.118,0.051,0.21,0.41,0.831
exp_100_500_rcp_fr_rd,gat_1027_0202.json,reports/exp_100_500_rcp_fr_rd/gat_1027_0202.json,dorothea_100_500,gat,0.011,48.116,0.092,0.092,0.075,0.119,0.048,0.212,0.413,0.827
exp_100_500_rcp_rd,gat_1021_0223.json,reports/exp_100_500_rcp_rd/gat_1021_0223.json,dorothea_100_500,gat,0.01,48.12,0.093,0.092,0.085,0.127,0.054,0.194,0.423,0.814
exp_100_500_rcp_rd,gat_1025_2051.json,reports/exp_100_500_rcp_rd/gat_1025_2051.json,dorothea_100_500,gat,0.012,48.144,0.094,0.094,0.083,0.123,0.054,0.192,0.423,0.809
exp_100_500_rcp_rd,gat_1027_0158.json,reports/exp_100_500_rcp_rd/gat_1027_0158.json,dorothea_100_500,gat,0.011,48.482,0.094,0.094,0.083,0.132,0.055,0.194,0.425,0.802
exp_100_500_rcp_rd,gat_1027_1110.json,reports/exp_100_500_rcp_rd/gat_1027_1110.json,dorothea_100_500,gat,0.013,49.129,0.097,0.097,0.067,0.13,0.053,0.212,0.41,0.787
exp_100_500_rcp_rd,gat_1027_1410.json,reports/exp_100_500_rcp_rd/gat_1027_1410.json,dorothea_100_500,gat,0.012,48.083,0.092,0.092,0.079,0.123,0.056,0.195,0.424,0.814
exp_100_500_rcp_sl,gat_1020_0942.json,reports/exp_100_500_rcp_sl/gat_1020_0942.json,dorothea_100_500,gat,0.013,47.871,0.093,0.092,0.089,0.103,0.052,0.228,0.418,0.81
exp_100_500_rcp_sl,gat_1021_0219.json,reports/exp_100_500_rcp_sl/gat_1021_0219.json,dorothea_100_500,gat,0.013,47.644,0.093,0.092,0.087,0.104,0.054,0.226,0.423,0.817
exp_100_500_rcp_sl,gat_1025_2117.json,reports/exp_100_500_rcp_sl/gat_1025_2117.json,dorothea_100_500,gat,0.013,47.483,0.093,0.093,0.089,0.11,0.056,0.227,0.427,0.814
exp_100_500_rcp_sl_rd,gat_1021_0222.json,reports/exp_100_500_rcp_sl_rd/gat_1021_0222.json,dorothea_100_500,gat,0.011,48.832,0.095,0.094,0.076,0.1,0.069,0.217,0.409,0.793
exp_100_500_rcp_sl_rd,gat_1025_2047.json,reports/exp_100_500_rcp_sl_rd/gat_1025_2047.json,dorothea_100_500,gat,0.012,48.824,0.093,0.093,0.09,0.112,0.057,0.21,0.411,0.799
exp_100_500_rcp_sl_rd,gat_1026_1509.json,reports/exp_100_500_rcp_sl_rd/gat_1026_1509.json,dorothea_100_500,gat,0.012,49.102,0.092,0.092,0.085,0.116,0.058,0.216,0.409,0.792
exp_100_500_rcp_sl_rd,gat_1027_0156.json,reports/exp_100_500_rcp_sl_rd/gat_1027_0156.json,dorothea_100_500,gat,0.011,49.102,0.097,0.097,0.091,0.127,0.055,0.203,0.412,0.795
exp_500_1000_rcp,gat_1020_1720.json,reports/exp_500_1000_rcp/gat_1020_1720.json,dorothea_500_1000,gat,0.005,198.927,0.022,0.019,0.006,0.039,0.02,0.072,0.141,0.286
exp_500_1000_rcp,gat_1021_0233.json,reports/exp_500_1000_rcp/gat_1021_0233.json,dorothea_500_1000,gat,0.004,198.048,0.022,0.019,0.005,0.04,0.021,0.072,0.141,0.286
exp_500_1000_rcp_fr,gat_1020_1646.json,reports/exp_500_1000_rcp_fr/gat_1020_1646.json,dorothea_500_1000,gat,0.004,238.377,0.019,0.019,0.011,0.047,0.011,0.054,0.097,0.184
exp_500_1000_rcp_fr,gat_1021_0223.json,reports/exp_500_1000_rcp_fr/gat_1021_0223.json,dorothea_500_1000,gat,0.004,238.514,0.019,0.019,0.011,0.053,0.013,0.051,0.091,0.183
exp_500_1000_rcp_fr_rd,gat_1021_0701.json,reports/exp_500_1000_rcp_fr_rd/gat_1021_0701.json,dorothea_500_1000,gat,0.002,241.206,0.02,0.019,0.014,0.036,0.015,0.056,0.102,0.18
exp_500_1000_rcp_rd,gat_1021_0701.json,reports/exp_500_1000_rcp_rd/gat_1021_0701.json,dorothea_500_1000,gat,0.002,200.061,0.022,0.019,0.005,0.036,0.017,0.071,0.139,0.276
exp_500_1000_rcp_rd,gat_1026_1629.json,reports/exp_500_1000_rcp_rd/gat_1026_1629.json,dorothea_500_1000,gat,0.002,201.23,0.022,0.019,0.005,0.036,0.015,0.068,0.139,0.275
exp_500_550_rcp,gat_1020_1152.json,reports/exp_500_550_rcp/gat_1020_1152.json,dorothea_500_550,gat,0.004,174.226,0.027,0.019,0.005,0.041,0.021,0.081,0.163,0.318
exp_500_550_rcp,gat_1021_0241.json,reports/exp_500_550_rcp/gat_1021_0241.json,dorothea_500_550,gat,0.004,172.978,0.026,0.019,0.005,0.04,0.022,0.08,0.162,0.318
exp_500_550_rcp_fr,gat_1020_1127.json,reports/exp_500_550_rcp_fr/gat_1020_1127.json,dorothea_500_550,gat,0.001,236.72,0.019,0.019,0.013,0.035,0.01,0.051,0.089,0.194
exp_500_550_rcp_fr,gat_1021_0316.json,reports/exp_500_550_rcp_fr/gat_1021_0316.json,dorothea_500_550,gat,0.001,237.399,0.019,0.019,0.012,0.032,0.012,0.053,0.095,0.195
exp_500_550_rcp_fr_rd,gat_1021_0338.json,reports/exp_500_550_rcp_fr_rd/gat_1021_0338.json,dorothea_500_550,gat,0.002,238.243,0.019,0.019,0.009,0.04,0.011,0.048,0.088,0.167
exp_500_550_rcp_fr_rd,gat_1026_1623.json,reports/exp_500_550_rcp_fr_rd/gat_1026_1623.json,dorothea_500_550,gat,0.002,238.108,0.019,0.019,0.009,0.04,0.011,0.05,0.089,0.171
exp_500_550_rcp_rd,gat_1021_0342.json,reports/exp_500_550_rcp_rd/gat_1021_0342.json,dorothea_500_550,gat,0.004,172.624,0.027,0.019,0.004,0.042,0.015,0.083,0.158,0.328
exp_500_550_rcp_rd,gat_1026_1627.json,reports/exp_500_550_rcp_rd/gat_1026_1627.json,dorothea_500_550,gat,0.003,172.735,0.028,0.019,0.004,0.043,0.015,0.081,0.158,0.33
